Date,Opponent,Location,Result,Box Score Link,WMT Game ID,PSU Goals,PSU Shots on Goal,PSU Total Shot Attempts,PSU Faceoffs Won,PSU Faceoffs Lost,PSU Faceoff %,PSU Penalty Minutes,PSU Blocks,PSU Saves,Opponent Goals,Opponent Shots on Goal,Opponent Total Shot Attempts,Opponent Faceoffs Won,Opponent Faceoffs Lost,Opponent Faceoff %,Opponent Penalty Minutes,Opponent Blocks,Opponent Saves,Win,Goal Differential,Shot Differential,Total Shots on Goal,Faceoff Differential,PSU Save %,Opponent Save %,Home Game,Venue_Type,Total Goals,Total Penalty Minutes,PSU Shooting %,Opponent Shooting %
Saturday Oct 5,Alaska,"Fairbanks, Alaska",W Win 4-3,https://gopsusports.com/boxscore/16818,5722151,4,33,65,30,27,52.63,8,17,26,3,29,53,27,30,47.37,6,11,29,1,1,4,62,5.260000000000005,0.897,0.879,0,Away,7,14,12.121212121212121,10.344827586206897
Sunday Oct 6,Alaska,"Fairbanks, Alaska",W Win 5-0,https://gopsusports.com/boxscore/16819,5722152,5,32,54,35,36,49.3,33,17,32,0,32,64,36,35,50.7,19,10,27,1,5,0,64,-1.4000000000000057,1.0,0.844,0,Away,5,52,15.625,0.0
Saturday Oct 12,Quinnipiac,"Hamden, Conn.",L Loss 2-3,https://gopsusports.com/boxscore/16820,5722153,2,20,45,25,26,49.02,6,16,19,3,22,49,26,25,50.98,8,18,18,0,-1,-2,42,-1.9599999999999937,0.864,0.9,0,Away,5,14,10.0,13.636363636363635
Friday Oct 25,St. Lawrence,"University Park, Pa. / Pegula Ice Arena",W Win 3-2,https://gopsusports.com/boxscore/16821,5722154,3,28,58,40,22,64.52,8,10,14,2,16,36,22,40,35.48,21,16,25,1,1,12,44,29.04,0.875,0.893,1,Home,5,29,10.714285714285714,12.5
Saturday Oct 26,St. Lawrence,"University Park, Pa. / Pegula Ice Arena",W Win 3-1,https://gopsusports.com/boxscore/16822,5722155,3,37,65,40,17,70.18,8,12,25,1,26,50,17,40,29.82,8,7,34,1,2,11,63,40.36000000000001,0.962,0.919,1,Home,4,16,8.108108108108109,3.8461538461538463
Friday Nov 1,Minnesota,"Minneapolis, Minn.",L Loss 1-3,https://gopsusports.com/boxscore/16933,5722156,1,22,45,27,27,50.0,15,14,31,3,34,63,27,27,50.0,4,13,21,0,-2,-12,56,0.0,0.912,0.955,0,Away,4,19,4.545454545454546,8.823529411764707
Saturday Nov 2,Minnesota,"Minneapolis, Minn.",L Loss 0-1,https://gopsusports.com/boxscore/16934,5722157,0,28,52,28,28,50.0,6,12,11,1,12,40,28,28,50.0,19,13,28,0,-1,16,40,0.0,0.917,1.0,0,Away,1,25,0.0,8.333333333333332
Friday Nov 15,Wisconsin,"University Park, Pa. / Pegula Ice Arena",L Loss 4-5,https://gopsusports.com/boxscore/16935,5722160,4,36,62,39,30,56.52,6,15,23,5,28,54,30,39,43.48,10,12,32,0,-1,8,64,13.040000000000006,0.821,0.889,1,Home,9,16,11.11111111111111,17.857142857142858
Saturday Nov 16,Wisconsin,"University Park, Pa. / Pegula Ice Arena",L Loss 3-6,https://gopsusports.com/boxscore/16936,5722161,3,33,59,38,25,60.32,11,24,25,6,31,68,25,38,39.68,6,11,30,0,-3,2,64,20.64,0.806,0.909,1,Home,9,17,9.090909090909092,19.35483870967742
Friday Nov 22,Michigan,"University Park, Pa. / Pegula Ice Arena",L Loss 5-6,https://gopsusports.com/boxscore/16937,5722162,5,29,56,43,26,62.32,4,12,19,6,25,46,26,43,37.68,8,8,24,0,-1,4,54,24.64,0.76,0.828,1,Home,11,12,17.24137931034483,24.0
Saturday Nov 23,Michigan,"University Park, Pa. / Pegula Ice Arena",L Loss 6-10,https://gopsusports.com/boxscore/16938,5722163,6,39,71,39,34,53.42,29,12,20,10,30,50,34,39,46.58,14,14,33,0,-4,9,69,6.840000000000003,0.667,0.846,1,Home,16,43,15.384615384615385,33.33333333333333
