Date,Opponent,Location,Result,Box Score Link,WMT Game ID,PSU Goals,PSU Shots on Goal,PSU Total Shot Attempts,PSU Faceoffs Won,PSU Faceoffs Lost,PSU Faceoff %,PSU Penalty Minutes,PSU Blocks,PSU Saves,Opponent Goals,Opponent Shots on Goal,Opponent Total Shot Attempts,Opponent Faceoffs Won,Opponent Faceoffs Lost,Opponent Faceoff %,Opponent Penalty Minutes,Opponent Blocks,Opponent Saves
Friday Oct 3,Arizona State,"Tempe, Ariz. / Mullett Arena",W Win 6-3,https://gopsusports.com/boxscore/17959,6440318,6,47,69,32,45,41.56,18,16,35,3,38,65,45,32,58.44,16,13,41
Saturday Oct 4,Arizona State,"Tempe, Ariz. / Mullett Arena",W Win 4-2,https://gopsusports.com/boxscore/17960,6440319,4,46,76,29,42,40.85,14,13,45,2,47,69,42,29,59.15,8,17,42
Thursday Oct 9,Clarkson,"University Park, Pa. / Pegula Ice Arena",L Loss 4-6,https://gopsusports.com/boxscore/17961,6440320,4,40,75,37,30,55.22,14,12,20,6,26,45,30,37,44.78,14,21,36
Friday Oct 10,Clarkson,"University Park, Pa. / Pegula Ice Arena",W Win 5-2,https://gopsusports.com/boxscore/17962,6440321,5,31,57,30,24,55.56,75,11,21,2,23,39,24,30,44.44,77,13,26
Friday Oct 17,LIU,"University Park, Pa. / Pegula Ice Arena",W Win 5-4,https://gopsusports.com/boxscore/17963,6424375,5,41,66,37,33,52.86,10,15,32,4,36,63,33,37,47.14,25,11,36
Saturday Oct 18,LIU,"University Park, Pa. / Pegula Ice Arena",W Win 3-0,https://gopsusports.com/boxscore/17964,6424376,3,38,72,38,25,60.32,44,14,28,0,28,54,25,38,39.68,57,18,35
Friday Oct 24,Stonehill,"University Park, Pa. / Pegula Ice Arena",W Win 3-2,https://gopsusports.com/boxscore/17965,6440323,3,36,63,38,18,67.86,6,14,30,2,32,52,18,38,32.14,12,14,33
Saturday Oct 25,Stonehill,"University Park, Pa. / Pegula Ice Arena",W Win 4-2,https://gopsusports.com/boxscore/17966,6440324,4,32,60,36,29,55.38,12,9,26,2,28,43,29,36,44.62,12,20,28
Thursday Oct 30,Ohio State,"Columbus, Ohio / Value City Arena",W Win 3-2,https://gopsusports.com/boxscore/18294,6440325,3,37,64,39,38,50.65,16,10,28,2,30,52,38,39,49.35,18,14,34
Friday Nov 7,Michigan State,"East Lansing, Mich. / Munn Ice Arena",L Loss 1-2,https://gopsusports.com/boxscore/18296,6440327,1,25,44,32,27,54.24,6,8,30,2,32,55,27,32,45.76,10,11,24
Saturday Nov 8,Michigan State,"East Lansing, Mich. / Munn Ice Arena",L Loss 0-5,https://gopsusports.com/boxscore/18297,6440328,0,36,53,36,36,50.0,40,7,43,5,48,69,36,36,50.0,38,8,36
Friday Nov 14,Michigan,"University Park, Pa. / Pegula Ice Arena",L Loss 1-7,https://gopsusports.com/boxscore/18298,6439390,1,27,56,28,27,50.91,10,12,30,7,37,73,27,28,49.09,6,10,26
