Date,Opponent,Location,Result,Link
Friday Oct 3,Arizona State,"Tempe, Ariz. / Mullett Arena",W Win 6-3,https://gopsusports.com/boxscore/17959
Saturday Oct 4,Arizona State,"Tempe, Ariz. / Mullett Arena",W Win 4-2,https://gopsusports.com/boxscore/17960
Thursday Oct 9,Clarkson,"University Park, Pa. / Pegula Ice Arena",L Loss 4-6,https://gopsusports.com/boxscore/17961
Friday Oct 10,Clarkson,"University Park, Pa. / Pegula Ice Arena",W Win 5-2,https://gopsusports.com/boxscore/17962
Friday Oct 17,LIU,"University Park, Pa. / Pegula Ice Arena",W Win 5-4,https://gopsusports.com/boxscore/17963
Saturday Oct 18,LIU,"University Park, Pa. / Pegula Ice Arena",W Win 3-0,https://gopsusports.com/boxscore/17964
Friday Oct 24,Stonehill,"University Park, Pa. / Pegula Ice Arena",W Win 3-2,https://gopsusports.com/boxscore/17965
Saturday Oct 25,Stonehill,"University Park, Pa. / Pegula Ice Arena",W Win 4-2,https://gopsusports.com/boxscore/17966
Thursday Oct 30,Ohio State,"Columbus, Ohio / Value City Arena",W Win 3-2,https://gopsusports.com/boxscore/18294
Friday Oct 31,Ohio State,"Columbus, Ohio / Value City Arena",W Win 4-3,https://gopsusports.com/boxscore/18295
Friday Nov 7,Michigan State,"East Lansing, Mich. / Munn Ice Arena",L Loss 1-2,https://gopsusports.com/boxscore/18296
Saturday Nov 8,Michigan State,"East Lansing, Mich. / Munn Ice Arena",L Loss 0-5,https://gopsusports.com/boxscore/18297
Friday Nov 14,Michigan,"University Park, Pa. / Pegula Ice Arena",L Loss 1-7,https://gopsusports.com/boxscore/18298
Saturday Nov 15,Michigan,"University Park, Pa. / Pegula Ice Arena",W Win 4-2,https://gopsusports.com/boxscore/18299
Friday Nov 21,Minnesota,"Minneapolis, Minn. / 3M Arena at Mariucci",L Loss 2-3,https://gopsusports.com/boxscore/18300
Saturday Nov 22,Minnesota,"Minneapolis, Minn. / 3M Arena at Mariucci",W Win 2-1,https://gopsusports.com/boxscore/18301
Saturday Jan 3,RIT,"Rochester, N.Y. / Gene Polisseni Center",L Loss 0-1,https://gopsusports.com/boxscore/17968
Sunday Jan 4,RIT,"University Park, Pa. / Pegula Ice Arena",W Win 7-3,https://gopsusports.com/boxscore/17967
Friday Jan 9,Minnesota,"University Park, Pa. / Pegula Ice Arena",W Win 3-0,https://gopsusports.com/boxscore/18302
Saturday Jan 10,Minnesota,"University Park, Pa. / Pegula Ice Arena",W Win 5-2,https://gopsusports.com/boxscore/18303
Friday Jan 16,Notre Dame,"University Park, Pa. / Pegula Ice Arena",W Win 4-1,https://gopsusports.com/boxscore/18304
Saturday Jan 17,Notre Dame,"University Park, Pa. / Pegula Ice Arena",W Win 6-3,https://gopsusports.com/boxscore/18305
Friday Jan 23,Wisconsin,"Madison, Wis. / Kohl Center",W Win 7-2,https://gopsusports.com/boxscore/18306
Saturday Jan 24,Wisconsin,"Madison, Wis. / Kohl Center",W Win 3-1,https://gopsusports.com/boxscore/18307
Friday Jan 30,Michigan State,"University Park, Pa. / Pegula Ice Arena",L Loss 3-6,https://gopsusports.com/boxscore/18308
Saturday Jan 31,Michigan State,"University Park, Pa. / West Shore Home Field at Beaver Stadium",L Loss 4-5,https://gopsusports.com/boxscore/18309
Friday Feb 13,Michigan,"Ann Arbor, Mich. / Yost Ice Arena",T Tie 4-4,https://gopsusports.com/boxscore/18310
Saturday Feb 14,Michigan,"Ann Arbor, Mich. / Yost Ice Arena",L Loss 3-6,https://gopsusports.com/boxscore/18311
Friday Feb 20,Ohio State,"University Park, Pa. / Pegula Ice Arena",W Win 11-4,https://gopsusports.com/boxscore/18312
Saturday Feb 21,Ohio State,"University Park, Pa. / Pegula Ice Arena",W Win 5-4,https://gopsusports.com/boxscore/18313
Friday Feb 27,Notre Dame,"South Bend, Ind. / Compton Family Ice Arena",T Tie 3-3,https://gopsusports.com/boxscore/18314
Saturday Feb 28,Notre Dame,"South Bend, Ind. / Compton Family Ice Arena",L Loss 3-4,https://gopsusports.com/boxscore/18315
Thursday Mar 5,Wisconsin,"University Park, Pa. / Pegula Ice Arena",L Loss 3-7,https://gopsusports.com/boxscore/18316
Friday Mar 6,Wisconsin,"University Park, Pa. / Pegula Ice Arena",L Loss 2-5,https://gopsusports.com/boxscore/18317
Wednesday Mar 11,Minnesota,"University Park, Pa. / Pegula Ice Arena",W Win 6-2,https://gopsusports.com/boxscore/17975
Saturday Mar 14,Michigan,Campus Sites,L Loss 2-5,https://gopsusports.com/boxscore/17974
Friday Mar 27,Minnesota-Duluth,"Albany, N.Y. / MVP Arena",L Loss 1-3,https://gopsusports.com/boxscore/17971
