Opponent,Games,Wins,Win_Percentage,Avg_PSU_Goals,Avg_Opponent_Goals,Avg_Goal_Differential,Avg_Shot_Differential,Win Percentage
Michigan State,8,0,0.0,2.0,4.5,-2.5,-6.0,0.0
Minnesota-Duluth,2,0,0.0,1.0,3.0,-2.0,-9.0,0.0
Michigan,6,2,0.3333333333333333,3.0,4.333333333333333,-1.3333333333333333,-4.0,33.33333333333333
Wisconsin,8,4,0.5,3.75,3.75,0.0,-9.25,50.0
Clarkson,4,2,0.5,4.5,4.0,0.5,11.0,50.0
Notre Dame,8,4,0.5,4.0,2.75,1.25,-1.5,50.0
RIT,4,2,0.5,3.5,2.0,1.5,13.5,50.0
Minnesota,10,8,0.8,3.6,1.6,2.0,7.6,80.0
Stonehill,4,4,1.0,3.5,2.0,1.5,4.0,100.0
LIU,4,4,1.0,4.0,2.0,2.0,7.5,100.0
Arizona State,4,4,1.0,5.0,2.5,2.5,4.0,100.0
Ohio State,6,6,1.0,6.333333333333333,3.3333333333333335,3.0,-1.3333333333333333,100.0
